latent_id,collage_path,max_activation,interpretation,status,model
0,artifacts/autointerp/collages/latent_0.png,24.544902801513672,"The images predominantly feature various food items presented in warm, reddish tones, creating a cozy and inviting atmosphere.",ok,openai/gpt-4o-mini
2,artifacts/autointerp/collages/latent_2.png,12.200390815734863,"The common visual pattern across these images is a diverse array of colorful and creatively presented dishes, showcasing various cuisines and ingredients.",ok,openai/gpt-4o-mini
58,artifacts/autointerp/collages/latent_58.png,13.290245056152344,"The images showcase a diverse array of plated dishes, highlighting various cuisines and presentation styles, with a focus on both savory and sweet items.",ok,openai/gpt-4o-mini
132,artifacts/autointerp/collages/latent_132.png,13.832170486450195,"The common visual pattern across these images is a diverse array of delicious food items, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
136,artifacts/autointerp/collages/latent_136.png,14.272529602050781,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines, presentations, and textures.",ok,openai/gpt-4o-mini
141,artifacts/autointerp/collages/latent_141.png,16.148494720458984,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
157,artifacts/autointerp/collages/latent_157.png,13.069076538085938,"The images showcase a diverse array of desserts and sweet dishes, highlighting various textures, colors, and presentation styles.",ok,openai/gpt-4o-mini
265,artifacts/autointerp/collages/latent_265.png,12.219327926635742,"The images showcase a diverse array of delicious dishes and desserts, highlighting various cuisines and culinary presentations.",ok,openai/gpt-4o-mini
310,artifacts/autointerp/collages/latent_310.png,14.32174015045166,"The common visual pattern across these images is a diverse array of colorful and appetizing food dishes, showcasing various cuisines and desserts.",ok,openai/gpt-4o-mini
313,artifacts/autointerp/collages/latent_313.png,12.7842435836792,"The images showcase a diverse array of colorful and appetizing dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
320,artifacts/autointerp/collages/latent_320.png,13.26215648651123,"The images showcase a diverse array of dishes, highlighting various cuisines and presentation styles, often featuring vibrant colors and intricate plating.",ok,openai/gpt-4o-mini
331,artifacts/autointerp/collages/latent_331.png,35.919898986816406,"The common visual pattern across these images is a vibrant array of diverse and colorful food presentations, showcasing various dishes and desserts.",ok,openai/gpt-4o-mini
349,artifacts/autointerp/collages/latent_349.png,12.680848121643066,"The images showcase a variety of food items, including desserts, main dishes, and snacks, highlighting diverse culinary presentations and textures.",ok,openai/gpt-4o-mini
370,artifacts/autointerp/collages/latent_370.png,12.480198860168457,"The common visual pattern across these images is a diverse array of plated dishes featuring various cuisines, ingredients, and presentation styles.",ok,openai/gpt-4o-mini
447,artifacts/autointerp/collages/latent_447.png,23.364023208618164,"The images showcase a variety of dishes and food presentations, highlighting different cuisines and dining experiences.",ok,openai/gpt-4o-mini
450,artifacts/autointerp/collages/latent_450.png,13.15994644165039,"The common visual pattern across these images is a diverse array of food dishes, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
451,artifacts/autointerp/collages/latent_451.png,36.48780822753906,"The images showcase a variety of desserts and dishes, highlighting diverse textures, colors, and presentations of food.",ok,openai/gpt-4o-mini
469,artifacts/autointerp/collages/latent_469.png,27.28618621826172,"The common visual pattern across these images is a vibrant array of colorful foods and celebratory treats, often associated with parties and special occasions.",ok,openai/gpt-4o-mini
492,artifacts/autointerp/collages/latent_492.png,12.350309371948242,"The common visual pattern across these images is a diverse array of plated dishes featuring various cuisines, ingredients, and presentation styles.",ok,openai/gpt-4o-mini
567,artifacts/autointerp/collages/latent_567.png,14.740699768066406,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
746,artifacts/autointerp/collages/latent_746.png,12.402359962463379,"The common visual pattern across these images is a diverse array of food items presented in various styles and arrangements, showcasing different cuisines and textures.",ok,openai/gpt-4o-mini
816,artifacts/autointerp/collages/latent_816.png,12.474409103393555,"The images showcase a diverse array of food items, including appetizers, main dishes, desserts, and snacks, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
840,artifacts/autointerp/collages/latent_840.png,13.00385570526123,"The images showcase a diverse array of food dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
844,artifacts/autointerp/collages/latent_844.png,12.51019287109375,"The images showcase a diverse array of food dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
875,artifacts/autointerp/collages/latent_875.png,14.308821678161621,"The common visual pattern across these images is a diverse array of food presentations, showcasing various dishes and desserts in appealing arrangements.",ok,openai/gpt-4o-mini
876,artifacts/autointerp/collages/latent_876.png,17.091323852539062,"The common visual pattern across these images is a diverse array of food dishes and dining experiences, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
881,artifacts/autointerp/collages/latent_881.png,12.870647430419922,"The images showcase a variety of food presentations, highlighting diverse dishes and desserts with vibrant colors and intricate plating.",ok,openai/gpt-4o-mini
888,artifacts/autointerp/collages/latent_888.png,15.085716247558594,"The common visual pattern across these images is a variety of food dishes, predominantly featuring meats, vegetables, and sides, presented in different styles and settings.",ok,openai/gpt-4o-mini
893,artifacts/autointerp/collages/latent_893.png,12.35284423828125,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and presentations.",ok,openai/gpt-4o-mini
896,artifacts/autointerp/collages/latent_896.png,13.761964797973633,"The images showcase a diverse array of delicious food dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
902,artifacts/autointerp/collages/latent_902.png,17.945436477661133,"The images showcase a variety of food dishes, predominantly featuring rich colors and diverse textures, arranged in a grid format.",ok,openai/gpt-4o-mini
916,artifacts/autointerp/collages/latent_916.png,13.159078598022461,"The images showcase a diverse array of food dishes and desserts, highlighting various textures, colors, and presentation styles.",ok,openai/gpt-4o-mini
1022,artifacts/autointerp/collages/latent_1022.png,13.169422149658203,The common visual pattern across these images is a diverse array of colorful and creatively presented food dishes and desserts.,ok,openai/gpt-4o-mini
1094,artifacts/autointerp/collages/latent_1094.png,12.24393081665039,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1095,artifacts/autointerp/collages/latent_1095.png,22.862415313720703,The images predominantly feature various types of food and desserts presented in different styles and settings.,ok,openai/gpt-4o-mini
1105,artifacts/autointerp/collages/latent_1105.png,16.98668670654297,"The images showcase a diverse array of beautifully presented dishes and desserts, highlighting various cuisines and culinary styles.",ok,openai/gpt-4o-mini
1107,artifacts/autointerp/collages/latent_1107.png,12.265758514404297,"The common visual pattern across these images is a vibrant display of food items, desserts, and festive decorations, showcasing a variety of colors and textures.",ok,openai/gpt-4o-mini
1119,artifacts/autointerp/collages/latent_1119.png,13.232609748840332,"The common visual pattern across these images is a diverse array of food dishes, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1152,artifacts/autointerp/collages/latent_1152.png,13.537803649902344,"The common visual pattern across these images is a diverse array of food dishes and culinary presentations, showcasing various cuisines and styles of plating.",ok,openai/gpt-4o-mini
1153,artifacts/autointerp/collages/latent_1153.png,17.208824157714844,The common visual pattern across these images is a diverse array of food dishes and desserts presented in various styles and settings.,ok,openai/gpt-4o-mini
1182,artifacts/autointerp/collages/latent_1182.png,20.877479553222656,"The images showcase a variety of plated dishes, highlighting diverse textures, colors, and culinary presentations in a fine dining context.",ok,openai/gpt-4o-mini
1222,artifacts/autointerp/collages/latent_1222.png,16.36383628845215,"The images showcase a variety of elegantly presented dishes, highlighting diverse culinary styles and ingredients on white plates.",ok,openai/gpt-4o-mini
1243,artifacts/autointerp/collages/latent_1243.png,12.707820892333984,"The images showcase a diverse array of delicious dishes, highlighting various cuisines and cooking styles, with an emphasis on rich textures and vibrant colors.",ok,openai/gpt-4o-mini
1255,artifacts/autointerp/collages/latent_1255.png,12.905402183532715,"The images showcase a diverse array of food dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1260,artifacts/autointerp/collages/latent_1260.png,34.15270233154297,"The images predominantly feature a variety of colorful and visually appealing food items, primarily desserts and dishes presented on plates.",ok,openai/gpt-4o-mini
1276,artifacts/autointerp/collages/latent_1276.png,15.58072566986084,"The common visual pattern across these images is a diverse array of colorful and creatively presented food items, showcasing various cuisines and desserts.",ok,openai/gpt-4o-mini
1358,artifacts/autointerp/collages/latent_1358.png,12.863649368286133,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1384,artifacts/autointerp/collages/latent_1384.png,13.173650741577148,"The images showcase a variety of dishes, primarily desserts and savory foods, presented on white plates with diverse textures and colors.",ok,openai/gpt-4o-mini
1394,artifacts/autointerp/collages/latent_1394.png,12.237424850463867,The common visual pattern across these images is a diverse array of colorful and appetizing food dishes presented in various styles and settings.,ok,openai/gpt-4o-mini
1497,artifacts/autointerp/collages/latent_1497.png,13.207870483398438,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1554,artifacts/autointerp/collages/latent_1554.png,19.278335571289062,The images predominantly feature a variety of food items and desserts presented in diverse styles and settings.,ok,openai/gpt-4o-mini
1563,artifacts/autointerp/collages/latent_1563.png,13.631181716918945,"The common visual pattern across these images is a diverse array of colorful and creatively presented food dishes, showcasing various cuisines and dessert styles.",ok,openai/gpt-4o-mini
1583,artifacts/autointerp/collages/latent_1583.png,23.830984115600586,"The images predominantly feature various dishes and dining experiences, showcasing a range of food presentations in a dimly lit setting.",ok,openai/gpt-4o-mini
1596,artifacts/autointerp/collages/latent_1596.png,12.795934677124023,"The common visual pattern across these images is a diverse array of food dishes and desserts, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1621,artifacts/autointerp/collages/latent_1621.png,12.918914794921875,"The images showcase a diverse array of food dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1673,artifacts/autointerp/collages/latent_1673.png,24.86333465576172,"The images showcase a variety of desserts and dishes, often presented with artistic plating and garnishes, highlighting rich colors and textures.",ok,openai/gpt-4o-mini
1680,artifacts/autointerp/collages/latent_1680.png,15.774171829223633,"The images showcase a diverse array of colorful and visually appealing dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1722,artifacts/autointerp/collages/latent_1722.png,12.327391624450684,"The common visual pattern across these images is a diverse array of food items presented in various styles and settings, showcasing different cuisines and meal types.",ok,openai/gpt-4o-mini
1723,artifacts/autointerp/collages/latent_1723.png,18.788137435913086,"The common visual pattern across these images is a diverse array of colorful and appetizing food dishes, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1726,artifacts/autointerp/collages/latent_1726.png,14.328816413879395,"The common visual pattern across these images is a diverse array of food dishes and culinary presentations, showcasing various cuisines and cooking styles.",ok,openai/gpt-4o-mini
1785,artifacts/autointerp/collages/latent_1785.png,14.707670211791992,"The common visual pattern across these images is a diverse array of beautifully presented dishes and desserts, showcasing a variety of colors, textures, and culinary styles.",ok,openai/gpt-4o-mini
1809,artifacts/autointerp/collages/latent_1809.png,12.58654499053955,The common visual pattern across these images is a diverse array of colorful and appetizing food dishes presented in various styles and settings.,ok,openai/gpt-4o-mini
1884,artifacts/autointerp/collages/latent_1884.png,12.685503959655762,"The images collectively showcase a variety of food dishes and desserts, highlighting diverse culinary presentations and styles.",ok,openai/gpt-4o-mini
1886,artifacts/autointerp/collages/latent_1886.png,16.75528335571289,"The common visual pattern across these images is a diverse array of food items presented in various styles and textures, showcasing both savory and sweet dishes.",ok,openai/gpt-4o-mini
1902,artifacts/autointerp/collages/latent_1902.png,13.601887702941895,"The images display a diverse array of food items, showcasing various cuisines and presentation styles, including desserts, main courses, and appetizers.",ok,openai/gpt-4o-mini
1918,artifacts/autointerp/collages/latent_1918.png,14.71094799041748,"The images showcase a diverse array of food dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1935,artifacts/autointerp/collages/latent_1935.png,15.863454818725586,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and desserts.",ok,openai/gpt-4o-mini
1953,artifacts/autointerp/collages/latent_1953.png,14.038597106933594,"The images showcase a variety of elegantly presented dishes, emphasizing gourmet cuisine with artistic plating and diverse ingredients.",ok,openai/gpt-4o-mini
1955,artifacts/autointerp/collages/latent_1955.png,14.29545783996582,The common visual pattern across these images is a diverse array of food dishes and desserts presented in various styles and settings.,ok,openai/gpt-4o-mini
1975,artifacts/autointerp/collages/latent_1975.png,12.386953353881836,"The common visual pattern across these images is a diverse array of plated food items, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
1993,artifacts/autointerp/collages/latent_1993.png,13.39756965637207,"The common visual pattern across these images is a diverse array of plated meals, showcasing various cuisines and food presentations.",ok,openai/gpt-4o-mini
2015,artifacts/autointerp/collages/latent_2015.png,13.97441291809082,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and dining experiences.",ok,openai/gpt-4o-mini
2036,artifacts/autointerp/collages/latent_2036.png,12.338075637817383,"The images predominantly showcase a variety of colorful and appetizing food items, often presented in social settings or gatherings.",ok,openai/gpt-4o-mini
2057,artifacts/autointerp/collages/latent_2057.png,14.603469848632812,"The images showcase a diverse array of colorful and appetizing dishes, highlighting various cuisines and food presentations.",ok,openai/gpt-4o-mini
2120,artifacts/autointerp/collages/latent_2120.png,14.629642486572266,"The common visual pattern across these images is a diverse array of colorful and intricately presented dishes, showcasing various cuisines and food types.",ok,openai/gpt-4o-mini
2123,artifacts/autointerp/collages/latent_2123.png,17.58932113647461,"The images showcase a diverse array of food dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
2126,artifacts/autointerp/collages/latent_2126.png,12.496826171875,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and desserts presented in appealing arrangements.",ok,openai/gpt-4o-mini
2131,artifacts/autointerp/collages/latent_2131.png,14.27419662475586,"The common visual pattern across these images is a diverse array of food items, showcasing various cuisines and desserts presented in appealing arrangements.",ok,openai/gpt-4o-mini
2149,artifacts/autointerp/collages/latent_2149.png,14.325103759765625,"The images showcase a diverse array of colorful and visually appealing dishes, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
2151,artifacts/autointerp/collages/latent_2151.png,12.495243072509766,"The common visual pattern across these images is a diverse array of food dishes, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
2157,artifacts/autointerp/collages/latent_2157.png,14.075740814208984,"The common visual pattern across these images is a diverse array of colorful and appetizing food items, including desserts, main dishes, and snacks.",ok,openai/gpt-4o-mini
2201,artifacts/autointerp/collages/latent_2201.png,14.184731483459473,"The images showcase a diverse array of food dishes and beverages, highlighting various cuisines and presentation styles.",ok,openai/gpt-4o-mini
2222,artifacts/autointerp/collages/latent_2222.png,13.048954010009766,"The common visual pattern across these images is a diverse array of prepared dishes and desserts, showcasing various cuisines and presentation styles.",ok,openai/gpt-4o-mini
2228,artifacts/autointerp/collages/latent_2228.png,13.912442207336426,"The images showcase a variety of food dishes, highlighting diverse cuisines and presentation styles, often featuring vibrant colors and textures.",ok,openai/gpt-4o-mini
2296,artifacts/autointerp/collages/latent_2296.png,15.599576950073242,"The common visual pattern across these images is the presence of various green foods, particularly edamame and other green vegetables or dishes.",ok,openai/gpt-4o-mini
2341,artifacts/autointerp/collages/latent_2341.png,15.548637390136719,"The common visual pattern across these images is a diverse array of food items and culinary presentations, showcasing various dishes and desserts from different cuisines.",ok,openai/gpt-4o-mini
